Journal Data Filtered By: Selected Categories: KM Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,Eigenfactor
NATURE REVIEWS GENETICS,1471-0056,1471-0064,"GENETICS & HEREDITY - SCIE","42,803",53.242,0.05893,
NATURE GENETICS,1061-4036,1546-1718,"GENETICS & HEREDITY - SCIE","113,066",38.330,0.18681,
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,"GENETICS & HEREDITY - SCIE","44,127",17.712,0.02818,
Annual Review of Genetics,0066-4197,1545-2948,"GENETICS & HEREDITY - SCIE","9,053",16.830,0.00927,
MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,1537-1719,"GENETICS & HEREDITY - SCIE","61,557",16.240,0.08227,
GENOME BIOLOGY,1474-760X,1474-760X,"GENETICS & HEREDITY - SCIE","54,758",13.583,0.09899,
TRENDS IN GENETICS,0168-9525,1362-4555,"GENETICS & HEREDITY - SCIE","14,465",11.639,0.01880,
MOLECULAR THERAPY,1525-0016,1525-0024,"GENETICS & HEREDITY - SCIE","24,333",11.454,0.03025,
GENES & DEVELOPMENT,0890-9369,1549-5477,"GENETICS & HEREDITY - SCIE","61,885",11.361,0.04866,
Genome Medicine,1756-994X,1756-994X,"GENETICS & HEREDITY - SCIE","8,115",11.117,0.02345,
AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,1537-6605,"GENETICS & HEREDITY - SCIE","43,477",11.025,0.05420,
ONCOGENE,0950-9232,1476-5594,"GENETICS & HEREDITY - SCIE","77,576",9.867,0.05918,
GENOME RESEARCH,1088-9051,1549-5469,"GENETICS & HEREDITY - SCIE","47,141",9.043,0.06469,
Annual Review of Genomics and Human Genetics,1527-8204,1545-293X,"GENETICS & HEREDITY - SCIE","3,238",8.929,0.00480,
GENETICS IN MEDICINE,1098-3600,1530-0366,"GENETICS & HEREDITY - SCIE","17,957",8.822,0.04155,
npj Genomic Medicine,N/A,2056-7944,"GENETICS & HEREDITY - SCIE","971",8.617,0.00391,
GENOMICS PROTEOMICS & BIOINFORMATICS,1672-0229,2210-3244,"GENETICS & HEREDITY - SCIE","3,241",7.691,0.00636,
Molecular Autism,2040-2392,2040-2392,"GENETICS & HEREDITY - SCIE","3,579",7.509,0.00740,
Genes & Diseases,2352-4820,2352-3042,"GENETICS & HEREDITY - SCIE","1,850",7.103,0.00317,
Horticulture Research,2662-6810,2052-7276,"GENETICS & HEREDITY - SCIE","2,607",6.793,0.00461,
Clinical Epigenetics,1868-7075,1868-7083,"GENETICS & HEREDITY - SCIE","5,526",6.551,0.01155,
JOURNAL OF MEDICAL GENETICS,0022-2593,1468-6244,"GENETICS & HEREDITY - SCIE","15,071",6.318,0.01350,
HUMAN MOLECULAR GENETICS,0964-6906,1460-2083,"GENETICS & HEREDITY - SCIE","47,192",6.150,0.04752,
CRISPR Journal,2573-1599,2573-1602,"GENETICS & HEREDITY - SCIE","453",6.071,0.00224,
Circulation-Genomic and Precision Medicine,2574-8300,2574-8300,"GENETICS & HEREDITY - SCIE","858",6.054,0.00391,
CANCER GENE THERAPY,0929-1903,1476-5500,"GENETICS & HEREDITY - SCIE","3,768",5.987,0.00272,
PLoS Genetics,1553-7404,1553-7404,"GENETICS & HEREDITY - SCIE","52,461",5.917,0.08582,
GENOMICS,0888-7543,1089-8646,"GENETICS & HEREDITY - SCIE","11,771",5.736,0.00680,
THEORETICAL AND APPLIED GENETICS,0040-5752,1432-2242,"GENETICS & HEREDITY - SCIE","25,124",5.699,0.01258,
HUMAN GENE THERAPY,1043-0342,1557-7422,"GENETICS & HEREDITY - SCIE","7,074",5.695,0.00686,
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,1383-5742,1388-2139,"GENETICS & HEREDITY - SCIE","4,185",5.657,0.00317,
CURRENT OPINION IN GENETICS & DEVELOPMENT,0959-437X,1879-0380,"GENETICS & HEREDITY - SCIE","8,648",5.578,0.01210,
Genes and Nutrition,1555-8932,1865-3499,"GENETICS & HEREDITY - SCIE","2,090",5.523,0.00174,
Environmental Microbiome,N/A,2524-6372,"GENETICS & HEREDITY - SCIE","56",5.286,0.00010,
GENE THERAPY,0969-7128,1476-5462,"GENETICS & HEREDITY - SCIE","8,112",5.250,0.00413,
CHROMOSOME RESEARCH,0967-3849,1573-6849,"GENETICS & HEREDITY - SCIE","2,752",5.239,0.00225,
Microbial Genomics,2057-5858,2057-5858,"GENETICS & HEREDITY - SCIE","1,939",5.237,0.00644,
Biology of Sex Differences,N/A,2042-6410,"GENETICS & HEREDITY - SCIE","2,153",5.027,0.00407,
GENES CHROMOSOMES & CANCER,1045-2257,1098-2264,"GENETICS & HEREDITY - SCIE","6,108",5.006,0.00481,
JOURNAL OF INHERITED METABOLIC DISEASE,0141-8955,1573-2665,"GENETICS & HEREDITY - SCIE","8,207",4.982,0.00697,
Epigenetics & Chromatin,N/A,1756-8935,"GENETICS & HEREDITY - SCIE","2,461",4.954,0.00724,
DNA REPAIR,1568-7864,1568-7856,"GENETICS & HEREDITY - SCIE","7,382",4.913,0.01050,
Forensic Science International-Genetics,1872-4973,1878-0326,"GENETICS & HEREDITY - SCIE","6,013",4.882,0.00651,
HUMAN MUTATION,1059-7794,1098-1004,"GENETICS & HEREDITY - SCIE","16,381",4.878,0.01906,
MOLECULAR GENETICS AND METABOLISM,1096-7192,1096-7206,"GENETICS & HEREDITY - SCIE","9,612",4.797,0.00861,
Epigenomics,1750-1911,1750-192X,"GENETICS & HEREDITY - SCIE","3,848",4.778,0.00697,
Human Genomics,1473-9542,1479-7364,"GENETICS & HEREDITY - SCIE","2,039",4.639,0.00303,
Frontiers in Genetics,N/A,1664-8021,"GENETICS & HEREDITY - SCIE","18,705",4.599,0.03482,
JOURNAL OF MOLECULAR MEDICINE-JMM,0946-2716,1432-1440,"GENETICS & HEREDITY - SCIE","9,445",4.599,0.00848,
JOURNAL OF GENE MEDICINE,1099-498X,1521-2254,"GENETICS & HEREDITY - SCIE","2,294",4.565,0.00138,
GENETICS,0016-6731,1943-2631,"GENETICS & HEREDITY - SCIE","46,408",4.562,0.03485,
Epigenetics,1559-2294,1559-2308,"GENETICS & HEREDITY - SCIE","6,347",4.528,0.00653,
DNA RESEARCH,1340-2838,1756-1663,"GENETICS & HEREDITY - SCIE","3,726",4.458,0.00380,
CLINICAL GENETICS,0009-9163,1399-0004,"GENETICS & HEREDITY - SCIE","9,278",4.438,0.01279,
CURRENT GENE THERAPY,1566-5232,1875-5631,"GENETICS & HEREDITY - SCIE","1,576",4.391,0.00133,
CHROMOSOMA,0009-5915,1432-0886,"GENETICS & HEREDITY - SCIE","3,633",4.316,0.00366,
GENETICS SELECTION EVOLUTION,0999-193X,1297-9686,"GENETICS & HEREDITY - SCIE","4,473",4.297,0.00477,
MOLECULAR PHYLOGENETICS AND EVOLUTION,1055-7903,1095-9513,"GENETICS & HEREDITY - SCIE","22,497",4.286,0.02216,
Journal of Genetics and Genomics,1673-8527,1873-5533,"GENETICS & HEREDITY - SCIE","2,754",4.275,0.00376,
EUROPEAN JOURNAL OF HUMAN GENETICS,1018-4813,1476-5438,"GENETICS & HEREDITY - SCIE","12,623",4.246,0.01788,
Briefings in Functional Genomics,2041-2649,2041-2657,"GENETICS & HEREDITY - SCIE","2,186",4.241,0.00285,
MITOCHONDRION,1567-7249,1872-8278,"GENETICS & HEREDITY - SCIE","4,982",4.160,0.00469,
HUMAN GENETICS,0340-6717,1432-1203,"GENETICS & HEREDITY - SCIE","10,191",4.132,0.00965,
Orphanet Journal of Rare Diseases,N/A,1750-1172,"GENETICS & HEREDITY - SCIE","10,742",4.123,0.01350,
Genes,N/A,2073-4425,"GENETICS & HEREDITY - SCIE","11,556",4.096,0.02385,
Plant Genome,N/A,1940-3372,"GENETICS & HEREDITY - SCIE","2,353",4.089,0.00354,
Molecular Diagnosis & Therapy,1177-1062,1179-2000,"GENETICS & HEREDITY - SCIE","1,598",4.074,0.00266,
Cancer Genomics & Proteomics,1109-6535,1790-6245,"GENETICS & HEREDITY - SCIE","1,541",4.069,0.00168,
Mobile DNA,1759-8753,1759-8753,"GENETICS & HEREDITY - SCIE","1,212",4.060,0.00405,
BMC GENOMICS,1471-2164,1471-2164,"GENETICS & HEREDITY - SCIE","51,069",3.969,0.06659,
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,1552-4868,1552-4876,"GENETICS & HEREDITY - SCIE","3,067",3.908,0.00424,
CURRENT GENETICS,0172-8083,1432-0983,"GENETICS & HEREDITY - SCIE","4,615",3.886,0.00551,
HEREDITY,0018-067X,1365-2540,"GENETICS & HEREDITY - SCIE","10,968",3.821,0.00830,
EVOLUTION,0014-3820,1558-5646,"GENETICS & HEREDITY - SCIE","33,940",3.694,0.01648,
GENE,0378-1119,1879-0038,"GENETICS & HEREDITY - SCIE","33,228",3.688,0.02782,
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,1552-4841,1552-485X,"GENETICS & HEREDITY - SCIE","4,408",3.568,0.00454,
PHARMACOGENOMICS JOURNAL,1470-269X,1473-1150,"GENETICS & HEREDITY - SCIE","3,275",3.550,0.00327,
FUNGAL GENETICS AND BIOLOGY,1087-1845,1096-0937,"GENETICS & HEREDITY - SCIE","6,678",3.495,0.00501,
Neurology-Genetics,2376-7839,2376-7839,"GENETICS & HEREDITY - SCIE","1,218",3.485,0.00391,
PLASMID,0147-619X,1095-9890,"GENETICS & HEREDITY - SCIE","1,956",3.466,0.00153,
DISEASE MARKERS,0278-0240,1875-8630,"GENETICS & HEREDITY - SCIE","5,699",3.434,0.00765,
Genome Biology and Evolution,1759-6653,1759-6653,"GENETICS & HEREDITY - SCIE","8,785",3.416,0.02023,
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,1058-0468,1573-7330,"GENETICS & HEREDITY - SCIE","7,604",3.412,0.00974,
FUNCTIONAL & INTEGRATIVE GENOMICS,1438-793X,1438-7948,"GENETICS & HEREDITY - SCIE","2,453",3.410,0.00201,
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,1536-2310,1557-8100,"GENETICS & HEREDITY - SCIE","4,250",3.374,0.00208,
DNA AND CELL BIOLOGY,1044-5498,1557-7430,"GENETICS & HEREDITY - SCIE","4,750",3.311,0.00420,
MOLECULAR GENETICS AND GENOMICS,1617-4615,1617-4623,"GENETICS & HEREDITY - SCIE","5,509",3.291,0.00504,
HEREDITAS,1601-5223,1601-5223,"GENETICS & HEREDITY - SCIE","1,955",3.271,0.00068,
BMC EVOLUTIONARY BIOLOGY,1471-2148,1471-2148,"GENETICS & HEREDITY - SCIE","14,888",3.260,0.01580,
JOURNAL OF APPLIED GENETICS,1234-1983,2190-3883,"GENETICS & HEREDITY - SCIE","1,878",3.240,0.00177,
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,0893-6692,1098-2280,"GENETICS & HEREDITY - SCIE","4,142",3.216,0.00263,
JOURNAL OF HUMAN GENETICS,1434-5161,1435-232X,"GENETICS & HEREDITY - SCIE","5,269",3.172,0.00685,
ANIMAL GENETICS,0268-9146,1365-2052,"GENETICS & HEREDITY - SCIE","4,848",3.169,0.00307,
G3-Genes Genomes Genetics,2160-1836,2160-1836,"GENETICS & HEREDITY - SCIE","8,340",3.154,0.02193,
PHYSIOLOGICAL GENOMICS,1094-8341,1531-2267,"GENETICS & HEREDITY - SCIE","5,242",3.107,0.00339,
BMC Medical Genomics,N/A,1755-8794,"GENETICS & HEREDITY - SCIE","3,830",3.063,0.00616,
PRENATAL DIAGNOSIS,0197-3851,1097-0223,"GENETICS & HEREDITY - SCIE","7,537",3.050,0.00796,
MUTAGENESIS,0267-8357,1464-3804,"GENETICS & HEREDITY - SCIE","3,982",3.000,0.00244,
MAMMALIAN GENOME,0938-8990,1432-1777,"GENETICS & HEREDITY - SCIE","3,060",2.957,0.00270,
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,1383-5718,1879-3592,"GENETICS & HEREDITY - SCIE","7,037",2.873,0.00270,
IMMUNOGENETICS,0093-7711,1432-1211,"GENETICS & HEREDITY - SCIE","3,776",2.846,0.00251,
BEHAVIOR GENETICS,0001-8244,1573-3297,"GENETICS & HEREDITY - SCIE","3,306",2.805,0.00242,
AMERICAN JOURNAL OF MEDICAL GENETICS PART A,1552-4825,1552-4833,"GENETICS & HEREDITY - SCIE","15,065",2.802,0.01740,
Molecular Genetics and Metabolism Reports,N/A,2214-4269,"GENETICS & HEREDITY - SCIE","1,066",2.797,0.00193,
BMC GENETICS,1471-2156,1471-2156,"GENETICS & HEREDITY - SCIE","5,363",2.797,0.00520,
EVOLUTIONARY ECOLOGY,0269-7653,1573-8477,"GENETICS & HEREDITY - SCIE","4,056",2.717,0.00237,
European Journal of Medical Genetics,1769-7212,1878-0849,"GENETICS & HEREDITY - SCIE","3,301",2.708,0.00521,
GENES AND IMMUNITY,1466-4879,1476-5470,"GENETICS & HEREDITY - SCIE","3,029",2.676,0.00203,
Comparative Biochemistry and Physiology D-Genomics & Proteomics,1744-117X,1878-0407,"GENETICS & HEREDITY - SCIE","1,466",2.674,0.00155,
NEUROGENETICS,1364-6745,1364-6753,"GENETICS & HEREDITY - SCIE","1,390",2.660,0.00141,
JOURNAL OF HEREDITY,0022-1503,1465-7333,"GENETICS & HEREDITY - SCIE","6,842",2.645,0.00368,
MOLECULAR BREEDING,1380-3743,1572-9788,"GENETICS & HEREDITY - SCIE","6,948",2.589,0.00511,
CONSERVATION GENETICS,1566-0621,1572-9737,"GENETICS & HEREDITY - SCIE","4,547",2.538,0.00361,
Journal of Genetic Counseling,1059-7700,1573-3599,"GENETICS & HEREDITY - SCIE","3,064",2.537,0.00450,
Cancer Genetics,2210-7762,2210-7770,"GENETICS & HEREDITY - SCIE","1,569",2.523,0.00248,
GENESIS,1526-954X,1526-968X,"GENETICS & HEREDITY - SCIE","4,396",2.487,0.00366,
PSYCHIATRIC GENETICS,0955-8829,1473-5873,"GENETICS & HEREDITY - SCIE","1,003",2.458,0.00091,
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,1386-1964,1873-135X,"GENETICS & HEREDITY - SCIE","7,739",2.433,0.00189,
JOURNAL OF EVOLUTIONARY BIOLOGY,1010-061X,1420-9101,"GENETICS & HEREDITY - SCIE","11,780",2.411,0.00846,
Human Gene Therapy Methods,1946-6536,1946-6544,"GENETICS & HEREDITY - SCIE","688",2.396,0.00117,
JOURNAL OF MOLECULAR EVOLUTION,0022-2844,1432-1432,"GENETICS & HEREDITY - SCIE","8,871",2.395,0.00143,
Familial Cancer,1389-9600,1573-7292,"GENETICS & HEREDITY - SCIE","2,174",2.375,0.00334,
VIRUS GENES,0920-8569,1572-994X,"GENETICS & HEREDITY - SCIE","3,101",2.332,0.00282,
International Journal of Genomics,2314-436X,2314-4378,"GENETICS & HEREDITY - SCIE","1,224",2.326,0.00185,
Tree Genetics & Genomes,1614-2942,1614-2950,"GENETICS & HEREDITY - SCIE","3,336",2.297,0.00350,
CURRENT GENOMICS,1389-2029,1875-5488,"GENETICS & HEREDITY - SCIE","2,721",2.236,0.00181,
NEW GENETICS AND SOCIETY,1463-6778,1469-9915,"GENETICS & HEREDITY - SCIE","491",2.189,0.00072,
Molecular Genetics & Genomic Medicine,2324-9269,2324-9269,"GENETICS & HEREDITY - SCIE","2,408",2.183,0.00558,
GENOME,0831-2796,1480-3321,"GENETICS & HEREDITY - SCIE","4,699",2.166,0.00241,
GENETIC EPIDEMIOLOGY,0741-0395,1098-2272,"GENETICS & HEREDITY - SCIE","3,316",2.135,0.00649,
BMC Medical Genetics,N/A,1471-2350,"GENETICS & HEREDITY - SCIE","4,080",2.103,0.00420,
Pharmacogenetics and Genomics,1744-6872,1744-6880,"GENETICS & HEREDITY - SCIE","3,514",2.089,0.00177,
Genes and Environment,1880-7046,1880-7062,"GENETICS & HEREDITY - SCIE","389",2.085,0.00067,
Lifestyle Genomics,2504-3161,2504-3188,"GENETICS & HEREDITY - SCIE","62",2.083,0.00011,
Molecular Cytogenetics,N/A,1755-8166,"GENETICS & HEREDITY - SCIE","1,029",2.009,0.00158,
Public Health Genomics,1662-4246,1662-8063,"GENETICS & HEREDITY - SCIE","914",2.000,0.00126,
Cellular Reprogramming,2152-4971,2152-4998,"GENETICS & HEREDITY - SCIE","806",1.987,0.00080,
Advances in Genetics,0065-2660,N/A,"GENETICS & HEREDITY - SCIE","1,773",1.944,0.00131,
EVOLUTION & DEVELOPMENT,1520-541X,1525-142X,"GENETICS & HEREDITY - SCIE","2,032",1.930,0.00070,
GENES TO CELLS,1356-9597,1365-2443,"GENETICS & HEREDITY - SCIE","4,416",1.891,0.00277,
BIOCHEMICAL GENETICS,0006-2928,1573-4927,"GENETICS & HEREDITY - SCIE","1,488",1.890,0.00090,
Genes & Genomics,1976-9571,2092-9293,"GENETICS & HEREDITY - SCIE","1,201",1.839,0.00167,
CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION,1045-4403,2162-6502,"GENETICS & HEREDITY - SCIE","1,282",1.807,0.00073,
OPHTHALMIC GENETICS,1381-6810,1744-5094,"GENETICS & HEREDITY - SCIE","1,372",1.803,0.00204,
Comparative Cytogenetics,1993-0771,1993-078X,"GENETICS & HEREDITY - SCIE","494",1.800,0.00062,
Genetic Testing and Molecular Biomarkers,1945-0265,1945-0257,"GENETICS & HEREDITY - SCIE","1,808",1.795,0.00188,
GENETICS AND MOLECULAR BIOLOGY,1415-4757,1678-4685,"GENETICS & HEREDITY - SCIE","3,263",1.771,0.00219,
Medizinische Genetik,0936-5931,1863-5490,"GENETICS & HEREDITY - SCIE","136",1.724,0.00029,
Marine Genomics,1874-7787,1876-7478,"GENETICS & HEREDITY - SCIE","1,306",1.710,0.00203,
ANNALS OF HUMAN GENETICS,0003-4800,1469-1809,"GENETICS & HEREDITY - SCIE","2,029",1.670,0.00110,
CYTOGENETIC AND GENOME RESEARCH,1424-8581,1424-859X,"GENETICS & HEREDITY - SCIE","3,330",1.636,0.00213,
Molecular Syndromology,1661-8769,1661-8777,"GENETICS & HEREDITY - SCIE","875",1.631,0.00137,
Genetics Research,0016-6723,1469-5073,"GENETICS & HEREDITY - SCIE","2,126",1.588,0.00019,
Twin Research and Human Genetics,1832-4274,1839-2628,"GENETICS & HEREDITY - SCIE","2,101",1.587,0.00239,
THEORETICAL POPULATION BIOLOGY,0040-5809,1096-0325,"GENETICS & HEREDITY - SCIE","4,374",1.570,0.00224,
GENES & GENETIC SYSTEMS,1341-7568,1880-5779,"GENETICS & HEREDITY - SCIE","880",1.517,0.00064,
Mitochondrial DNA Part A,2470-1394,2470-1408,"GENETICS & HEREDITY - SCIE","1,680",1.514,0.00386,
International Journal of Immunogenetics,1744-3121,1744-313X,"GENETICS & HEREDITY - SCIE","791",1.466,0.00072,
JOURNAL OF NEUROGENETICS,0167-7063,1563-5260,"GENETICS & HEREDITY - SCIE","807",1.250,0.00073,
GENE EXPRESSION PATTERNS,1567-133X,1872-7298,"GENETICS & HEREDITY - SCIE","1,536",1.224,0.00072,
JOURNAL OF GENETICS,0022-1333,0973-7731,"GENETICS & HEREDITY - SCIE","2,232",1.166,0.00190,
GENETICA,0016-6707,1573-6857,"GENETICS & HEREDITY - SCIE","2,983",1.082,0.00099,
Conservation Genetics Resources,1877-7252,1877-7260,"GENETICS & HEREDITY - SCIE","2,398",0.973,0.00151,
CARYOLOGIA,0008-7114,2165-5391,"GENETICS & HEREDITY - SCIE","953",0.918,0.00034,
CLINICAL DYSMORPHOLOGY,0962-8827,1473-5717,"GENETICS & HEREDITY - SCIE","633",0.816,0.00051,
SILVAE GENETICA,0037-5349,2509-8934,"GENETICS & HEREDITY - SCIE","986",0.795,0.00017,
CYTOLOGIA,0011-4545,N/A,"GENETICS & HEREDITY - SCIE","1,071",0.791,0.00021,
Genetika-Belgrade,0534-0012,1820-6069,"GENETICS & HEREDITY - SCIE","547",0.761,0.00045,
Mitochondrial DNA Part B-Resources,N/A,2380-2359,"GENETICS & HEREDITY - SCIE","2,584",0.658,0.00282,
RUSSIAN JOURNAL OF GENETICS,1022-7954,1608-3369,"GENETICS & HEREDITY - SCIE","1,850",0.581,0.00113,
Cytology and Genetics,0095-4527,1934-9440,"GENETICS & HEREDITY - SCIE","376",0.579,0.00028,
HUMAN BIOLOGY,0018-7143,1534-6617,"GENETICS & HEREDITY - SCIE","1,866",0.553,0.00047,
Balkan Journal of Medical Genetics,1311-0160,1311-0160,"GENETICS & HEREDITY - SCIE","210",0.519,0.00025,
HUMAN HEREDITY,0001-5652,1423-0062,"GENETICS & HEREDITY - SCIE","975",0.444,0.00032,
INTERNATIONAL JOURNAL OF HUMAN GENETICS,0972-3757,2456-6330,"GENETICS & HEREDITY - SCIE","152",0.226,0.00006,
Meta Gene,N/A,2214-5400,"GENETICS & HEREDITY - ESCI","722",n/a,0.00088,
Epigenomes,N/A,2075-4655,"GENETICS & HEREDITY - ESCI","129",n/a,0.00028,
Gene Reports,N/A,2452-0144,"GENETICS & HEREDITY - ESCI","616",n/a,0.00072,
AIMS Genetics,2377-1143,2377-1143,"GENETICS & HEREDITY - ESCI","116",n/a,0.00027,
Epigenetics Insights,2516-8657,2516-8657,"GENETICS & HEREDITY - ESCI","49",n/a,0.00014,
Human Genome Variation,N/A,2054-345X,"GENETICS & HEREDITY - ESCI","434",n/a,0.00126,
International Journal of Neonatal Screening,N/A,2409-515X,"GENETICS & HEREDITY - ESCI","251",n/a,0.00048,
Environmental Epigenetics,2058-5888,2058-5888,"GENETICS & HEREDITY - ESCI","461",n/a,0.00115,
Journal of Community Genetics,1868-310X,1868-6001,"GENETICS & HEREDITY - ESCI","840",n/a,0.00129,
GENETICS AND MOLECULAR RESEARCH,N/A,1676-5680,"GENETICS & HEREDITY - ESCI","7,706",n/a,0.00879,
Application of Clinical Genetics,N/A,1178-704X,"GENETICS & HEREDITY - ESCI","673",n/a,0.00121,
Current Genetic Medicine Reports,N/A,2167-4876,"GENETICS & HEREDITY - ESCI","257",n/a,0.00058,
Global Medical Genetics,2699-9404,2699-9404,"GENETICS & HEREDITY - ESCI","3",n/a,0.00000,

Copyright (c) 2021 Clarivate
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use
