Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"PHARMACEUTICAL STATISTICS","PHARM STAT","1539-1604","1539-1612","STATISTICS & PROBABILITY - SCIE","1,836","1.234","Q3","0.49","13.58"%,
"Electronic Journal of Statistics","ELECTRON J STAT","1935-7524","1935-7524","STATISTICS & PROBABILITY - SCIE","2,756","1.225","Q3","0.5","99.52"%,
"JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION","J STAT COMPUT SIM","0094-9655","1563-5163","STATISTICS & PROBABILITY - SCIE","4,237","1.225","Q3","0.41","2.58"%,
"COMBINATORICS PROBABILITY & COMPUTING","COMB PROBAB COMPUT","0963-5483","1469-2163","STATISTICS & PROBABILITY - SCIE","1,270","1.211","Q3","0.6","12.57"%,
"Random Matrices-Theory and Applications","RANDOM MATRICES-THEO","2010-3263","2010-3271","STATISTICS & PROBABILITY - SCIE","314","1.209","Q3","0.45","1.19"%,
"JOURNAL OF TIME SERIES ANALYSIS","J TIME SER ANAL","0143-9782","1467-9892","STATISTICS & PROBABILITY - SCIE","2,521","1.208","Q3","0.44","14.38"%,
"ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS","ANN I STAT MATH","0020-3157","1572-9052","STATISTICS & PROBABILITY - SCIE","2,545","1.18","Q3","0.53","0"%,
"Statistical Methods and Applications","STAT METHOD APPL-GER","1618-2510","1613-981X","STATISTICS & PROBABILITY - SCIE","649","1.174","Q3","0.48","23.27"%,
"COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION","COMMUN STAT-SIMUL C","0361-0918","1532-4141","STATISTICS & PROBABILITY - SCIE","4,683","1.162","Q3","0.49","1.73"%,
"Journal of Official Statistics","J OFF STAT","0282-423X","2001-7367","STATISTICS & PROBABILITY - SCIE","1,430","1.139","Q3","0.4","97.37"%,
"ELECTRONIC JOURNAL OF PROBABILITY","ELECTRON J PROBAB","1083-6489","1083-6489","STATISTICS & PROBABILITY - SCIE","2,293","1.134","Q3","0.46","97.88"%,
"JOURNAL OF APPLIED PROBABILITY","J APPL PROBAB","0021-9002","1475-6072","STATISTICS & PROBABILITY - SCIE","3,710","1.116","Q4","0.41","0"%,
"Journal of Statistical Planning and Inference","J STAT PLAN INFER","0378-3758","1873-1171","STATISTICS & PROBABILITY - SCIE","5,697","1.095","Q4","0.54","3.59"%,
"ADVANCES IN APPLIED PROBABILITY","ADV APPL PROBAB","0001-8678","1475-6064","STATISTICS & PROBABILITY - SCIE","2,320","1.06","Q4","0.38","0"%,
"SCANDINAVIAN JOURNAL OF STATISTICS","SCAND J STAT","0303-6898","1467-9469","STATISTICS & PROBABILITY - SCIE","4,485","1.04","Q4","0.47","22.17"%,
"Sequential Analysis-Design Methods and Applications","SEQUENTIAL ANAL","0747-4946","1532-4176","STATISTICS & PROBABILITY - SCIE","511","1.038","Q4","0.4","2.53"%,
"JOURNAL OF NONPARAMETRIC STATISTICS","J NONPARAMETR STAT","1048-5252","1029-0311","STATISTICS & PROBABILITY - SCIE","1,100","1.012","Q4","0.46","2.65"%,
"Stochastics-An International Journal of Probability and Stochastic Processes","STOCHASTICS","1744-2508","1744-2516","STATISTICS & PROBABILITY - SCIE","908","1","Q4","0.42","4.37"%,
"REVSTAT-Statistical Journal","REVSTAT-STAT J","1645-6726","2183-0371","STATISTICS & PROBABILITY - SCIE","366","0.985","Q4","0.37","0"%,
"METRIKA","METRIKA","0026-1335","1435-926X","STATISTICS & PROBABILITY - SCIE","1,221","0.96","Q4","0.4","12.14"%,
"Brazilian Journal of Probability and Statistics","BRAZ J PROBAB STAT","0103-0752","0103-0752","STATISTICS & PROBABILITY - SCIE","431","0.955","Q4","0.44","1.48"%,
"STATISTICAL MODELLING","STAT MODEL","1471-082X","1477-0342","STATISTICS & PROBABILITY - SCIE","984","0.927","Q4","0.62","10.83"%,
"METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY","METHODOL COMPUT APPL","1387-5841","1573-7713","STATISTICS & PROBABILITY - SCIE","858","0.88","Q4","0.49","13.4"%,
"Hacettepe Journal of Mathematics and Statistics","HACET J MATH STAT","N/A","2651-477X","STATISTICS & PROBABILITY - SCIE","1,346","0.867","Q4","0.62","67.67"%,
"AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS","AUST NZ J STAT","1369-1473","1467-842X","STATISTICS & PROBABILITY - SCIE","752","0.867","Q4","0.3","5.13"%,
"COMMUNICATIONS IN STATISTICS-THEORY AND METHODS","COMMUN STAT-THEOR M","0361-0926","1532-415X","STATISTICS & PROBABILITY - SCIE","7,584","0.863","Q4","0.39","1.75"%,
"INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS","INFIN DIMENS ANAL QU","0219-0257","1793-6306","STATISTICS & PROBABILITY - SCIE","1,165","0.828","Q4","0.29","1.2"%,
"Journal of the Korean Statistical Society","J KOREAN STAT SOC","1226-3192","2005-2863","STATISTICS & PROBABILITY - SCIE","566","0.82","Q4","0.37","3.02"%,
"CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE","CAN J STAT","0319-5724","1708-945X","STATISTICS & PROBABILITY - SCIE","1,534","0.758","Q4","0.34","5.59"%,
"JOURNAL OF THEORETICAL PROBABILITY","J THEOR PROBAB","0894-9840","1572-9230","STATISTICS & PROBABILITY - SCIE","1,220","0.733","Q4","0.35","17.87"%,
"ALEA-Latin American Journal of Probability and Mathematical Statistics","ALEA-LAT AM J PROBAB","1980-0436","N/A","STATISTICS & PROBABILITY - SCIE","386","0.732","Q4","0.31","0"%,
"STATISTICS & PROBABILITY LETTERS","STAT PROBABIL LETT","0167-7152","1879-2103","STATISTICS & PROBABILITY - SCIE","5,545","0.718","Q4","0.38","2.79"%,
"Survey Methodology","SURV METHODOL","0714-0045","N/A","STATISTICS & PROBABILITY - SCIE","917","0.718","Q4","0.2","0"%,
"ELECTRONIC COMMUNICATIONS IN PROBABILITY","ELECTRON COMMUN PROB","N/A","1083-589X","STATISTICS & PROBABILITY - SCIE","955","0.709","Q4","0.28","98.17"%,
"ESAIM-Probability and Statistics","ESAIM-PROBAB STAT","1292-8100","1262-3318","STATISTICS & PROBABILITY - SCIE","456","0.704","Q4","0.3","46.39"%,
"Statistical Applications in Genetics and Molecular Biology","STAT APPL GENET MOL","2194-6302","1544-6115","STATISTICS & PROBABILITY - SCIE","1,824","0.676","Q4","0.17","6.52"%,
"INTERNATIONAL JOURNAL OF GAME THEORY","INT J GAME THEORY","0020-7276","1432-1270","STATISTICS & PROBABILITY - SCIE","1,569","0.649","Q4","0.27","22.75"%,
"STOCHASTIC MODELS","STOCH MODELS","1532-6349","1532-4214","STATISTICS & PROBABILITY - SCIE","492","0.613","Q4","0.3","10.64"%,
"LAW PROBABILITY & RISK","LAW PROBAB RISK","1470-8396","1470-840X","STATISTICS & PROBABILITY - SCIE","191","0.581","Q4","0.65","11.43"%,
"OPEN SYSTEMS & INFORMATION DYNAMICS","OPEN SYST INF DYN","1230-1612","1793-7191","STATISTICS & PROBABILITY - SCIE","421","0.571","Q4","0.26","0"%,
"THEORY OF PROBABILITY AND ITS APPLICATIONS","THEOR PROBAB APPL+","0040-585X","1095-7219","STATISTICS & PROBABILITY - SCIE","2,057","0.56","Q4","0.35","0"%,
"Probability and Mathematical Statistics-Poland","PROBAB MATH STAT-POL","0208-4147","N/A","STATISTICS & PROBABILITY - SCIE","268","0.522","Q4","0.21","45.61"%,
"Markov Processes and Related Fields","MARKOV PROCESS RELAT","1024-2953","1024-2953","STATISTICS & PROBABILITY - SCIE","313","0.441","Q4","0.2","0"%,
"Statistica","STATISTICA","0390-590X","1973-2201","STATISTICS & PROBABILITY - ESCI","405","N/A","N/A","0.37","0"%,
"Journal of the Indian Society for Probability and Statistics","J INDIAN SOC PROB ST","N/A","2364-9569","STATISTICS & PROBABILITY - ESCI","45","N/A","N/A","0.15","0"%,
"Dependence Modeling","DEPEND MODEL","2300-2298","2300-2298","STATISTICS & PROBABILITY - ESCI","180","N/A","N/A","0.29","95"%,
"Journal of the SFdS","J SFDS","2102-6238","2102-6238","STATISTICS & PROBABILITY - ESCI","184","N/A","N/A","0.36","0"%,
"Probability Surveys","PROBAB SURV","1549-5787","1549-5787","STATISTICS & PROBABILITY - ESCI","581","N/A","N/A","1","100"%,
"Thailand Statistician","THAIL STATIST","1685-9057","2351-0676","STATISTICS & PROBABILITY - ESCI","107","N/A","N/A","0.32","0"%,
"Statistics & Risk Modeling","STATIST RISK MODEL","2193-1402","2196-7040","STATISTICS & PROBABILITY - ESCI","203","N/A","N/A","0.23","7.14"%,
"Foundations of Data Science","FOUND DATA SCI","N/A","2639-8001","STATISTICS & PROBABILITY - ESCI","95","N/A","N/A","0.76","98.33"%,
"JP Journal of Biostatistics","JP J BIOSTAT","0973-5143","0973-5143","STATISTICS & PROBABILITY - ESCI","21","N/A","N/A","0.02","26.51"%,
"Statistics and Applications","STAT APPL","2454-7395","2454-7395","STATISTICS & PROBABILITY - ESCI","177","N/A","N/A","0.1","0"%,
"Chilean Journal of Statistics","CHIL J STAT","0718-7912","0718-7920","STATISTICS & PROBABILITY - ESCI","139","N/A","N/A","0.44","0"%,
"Austrian Journal of Statistics","AUST J STAT","1026-597X","1026-597X","STATISTICS & PROBABILITY - ESCI","487","N/A","N/A","0.27","87.96"%,
"Cogent Mathematics & Statistics","COGENT MATH STAT","N/A","2574-2558","STATISTICS & PROBABILITY - ESCI","143","N/A","N/A","0.61","98.33"%,
"SOUTH AFRICAN STATISTICAL JOURNAL","S AFR STAT J","0038-271X","1996-8450","STATISTICS & PROBABILITY - ESCI","109","N/A","N/A","0.1","8.82"%,
"Mathematical Methods of Statistics","MATH METHODS STAT","1066-5307","1934-8045","STATISTICS & PROBABILITY - ESCI","447","N/A","N/A","0.17","0"%,
"Korean Journal of Applied Statistics","KOREAN J APPL STAT","1225-066X","2383-5818","STATISTICS & PROBABILITY - ESCI","108","N/A","N/A","0.07","0"%,
"Monte Carlo Methods and Applications","MONTE CARLO METHODS","0929-9629","0929-9629","STATISTICS & PROBABILITY - ESCI","689","N/A","N/A","0.26","2.78"%,
"Journal of Probability and Statistics","J PROBAB STAT","1687-952X","1687-9538","STATISTICS & PROBABILITY - ESCI","252","N/A","N/A","0.35","100"%,
"Advances and Applications in Statistics","ADV APPL STAT","0972-3617","0972-3617","STATISTICS & PROBABILITY - ESCI","121","N/A","N/A","0.08","15.64"%,
"RMS-Research in Mathematics & Statistics","RMS RES MATH STAT","N/A","2765-8449","STATISTICS & PROBABILITY - ESCI","1","N/A","N/A","N/A","100"%,
"Random Operators and Stochastic Equations","RANDOM OPERATORS STO","0926-6364","1569-397X","STATISTICS & PROBABILITY - ESCI","90","N/A","N/A","0.16","0"%,
"Journal of Statistical Theory and Practice","J STAT THEORY PRACT","1559-8608","1559-8616","STATISTICS & PROBABILITY - ESCI","450","N/A","N/A","0.31","7.58"%,
"Journal of Statistics & Management Systems","J STAT MANAG SYST","0972-0510","2169-0014","STATISTICS & PROBABILITY - ESCI","737","N/A","N/A","0.47","0"%,
"Metron-International Journal of Statistics","METRON","0026-1424","2281-695X","STATISTICS & PROBABILITY - ESCI","548","N/A","N/A","0.37","28.79"%,
"Modern Stochastics-Theory and Applications","MOD STOCH-THEORY APP","2351-6054","2351-6054","STATISTICS & PROBABILITY - ESCI","78","N/A","N/A","0.28","97.1"%,
"Journal of Modern Applied Statistical Methods","J MOD APPL STAT METH","1538-9472","1538-9472","STATISTICS & PROBABILITY - ESCI","1,293","N/A","N/A","0.1","97.78"%,
"Probability Uncertainty and Quantitative Risk","PROBAB UNCERTAIN QUA","2095-9672","2367-0126","STATISTICS & PROBABILITY - ESCI","82","N/A","N/A","0.84","39.39"%,
"Journal of Reliability and Statistical Studies","J RELIAB STAT STUD","0974-8024","2229-5666","STATISTICS & PROBABILITY - ESCI","85","N/A","N/A","0.13","54.32"%,
"Journal of Statistical Theory and Applications","J STAT THEORY APPL","N/A","2214-1766","STATISTICS & PROBABILITY - ESCI","347","N/A","N/A","0.28","93.28"%,
"Statistical Inference for Stochastic Processes","STAT INFER STOCH PRO","1387-0874","1572-9311","STATISTICS & PROBABILITY - ESCI","179","N/A","N/A","0.5","15.19"%,
"Japanese Journal of Statistics and Data Science","JPN J STAT DATA SCI","2520-8756","2520-8764","STATISTICS & PROBABILITY - ESCI","90","N/A","N/A","0.27","18.52"%,
"JIRSS-Journal of the Iranian Statistical Society","JIRSS-J IRAN STAT SO","1726-4057","2538-189X","STATISTICS & PROBABILITY - ESCI","94","N/A","N/A","0.22","98.18"%,
"Theory of Probability and Mathematical Statistics","THEOR PROBAB MATH ST","0094-9000","1547-7363","STATISTICS & PROBABILITY - ESCI","141","N/A","N/A","0.19","0"%,
"Electronic Journal of Applied Statistical Analysis","ELECTRON J APPL STAT","2070-5948","2070-5948","STATISTICS & PROBABILITY - ESCI","257","N/A","N/A","0.32","0"%,
"Pakistan Journal of Statistics and Operation Research","PAK J STAT OPER RES","1816-2711","2220-5810","STATISTICS & PROBABILITY - ESCI","529","N/A","N/A","0.68","71.57"%,
"Communications for Statistical Applications and Methods","COMMUN STAT APPL MET","2287-7843","2383-4757","STATISTICS & PROBABILITY - ESCI","338","N/A","N/A","0.22","100"%,
"Sankhya-Series A-Mathematical Statistics and Probability","SANKHYA SER A","0976-836X","0976-8378","STATISTICS & PROBABILITY - ESCI","793","N/A","N/A","0.33","8.33"%,
"Sankhya-Series B-Applied and Interdisciplinary Statistics","SANKHYA SER B","0976-8386","0976-8394","STATISTICS & PROBABILITY - ESCI","390","N/A","N/A","0.28","8.11"%,
"Statistics Surveys","STAT SURV","1935-7516","1935-7516","STATISTICS & PROBABILITY - ESCI","712","N/A","N/A","1.18","100"%,

